SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1059,['king penguin' 'birdhouse' 'confectionery' 'oboe' 'trilobite' 'tarantula' 'frying pan' 'remote control' 'teapot' 'cannon'],48.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1059,['king penguin' 'birdhouse' 'confectionery' 'oboe' 'trilobite' 'tarantula' 'frying pan' 'remote control' 'teapot' 'cannon'],46.80%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1060,['altar' 'CD player' 'sports car' 'bannister' 'beaker' 'Chihuahua' 'dragonfly' 'monarch' 'bullfrog' 'mushroom'],54.20%,False,100,25,10,0.00100,0.00,32x32x3
random/1060,['altar' 'CD player' 'sports car' 'bannister' 'beaker' 'Chihuahua' 'dragonfly' 'monarch' 'bullfrog' 'mushroom'],58.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1061,['albatross' 'bathtub' 'centipede' 'comic book' 'bucket' 'European fire salamander' 'wooden spoon' 'limousine' 'American alligator' 'candle'],50.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1061,['albatross' 'bathtub' 'centipede' 'comic book' 'bucket' 'European fire salamander' 'wooden spoon' 'limousine' 'American alligator' 'candle'],52.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1062,['cougar' 'iPod' 'teddy' 'lawn mower' 'CD player' 'magnetic compass' 'water tower' 'frying pan' 'black widow' 'bee'],53.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1062,['cougar' 'iPod' 'teddy' 'lawn mower' 'CD player' 'magnetic compass' 'water tower' 'frying pan' 'black widow' 'bee'],54.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1063,['volleyball' 'candle' 'bell pepper' 'pill bottle' 'viaduct' 'guacamole' 'plunger' 'spider web' 'lampshade' 'parking meter'],53.20%,False,100,25,10,0.00100,0.00,32x32x3
random/1063,['volleyball' 'candle' 'bell pepper' 'pill bottle' 'viaduct' 'guacamole' 'plunger' 'spider web' 'lampshade' 'parking meter'],54.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1064,['mashed potato' 'fountain' 'walking stick' 'kimono' 'viaduct' 'swimming trunks' 'drumstick' 'remote control' 'tarantula' 'hog'],47.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1064,['mashed potato' 'fountain' 'walking stick' 'kimono' 'viaduct' 'swimming trunks' 'drumstick' 'remote control' 'tarantula' 'hog'],50.40%,True,100,25,10,0.00100,0.00,32x32x3
